Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Jovibarba allionii,Jovibarba,,allionii,,,End.,W-Alp.,61,3,2,
Jovibarba arenaria,Jovibarba,,arenaria,subsp.    ,arenaria,End.,E-Alp.,61,3,3,1
Jovibarba arenaria,Jovibarba,,arenaria,subsp.    ,pseudohirta,End.,E-Alp.,61,3,3,2
Knautia baldensis,Knautia,,baldensis,,,End.,E-Alp.,123,5,6,
Knautia carinthiaca,Knautia,,carinthiaca,,,End.,E-Alp.,123,5,11,
Knautia dipsacifolia,Knautia,,dipsacifolia,subsp.    ,sixtina,End.,W-Alp.,123,5,2,2
Knautia leucophaea,Knautia,,leucophaea,,,Subend.,W-Alp.,123,5,14,
Knautia mollis,Knautia,,mollis,,,End.,W-Alp.,123,5,12,
Knautia norica,Knautia,x,norica,,,End.,E-Alp.,123,5,10,
Knautia persicina,Knautia,,persicina,,,End.,E-Alp.,123,5,9,
Knautia ressmannii,Knautia,,ressmannii,,,End.?,E-Alp.,123,5,3,
Knautia subcanescens,Knautia,,subcanescens,,,End.,W-Alp.,123,5,5,
Knautia transalpina,Knautia,,transalpina,,,End.,S-Alp.,123,5,8,
Knautia velutina,Knautia,,velutina,,,End.?,E-Alp.,123,5,7,
Koeleria cenisia,Koeleria,,cenisia,,,End.,W-Alp.,139,36,2,
Koeleria hirsuta,Koeleria,,hirsuta,,,End.,Alp.,139,36,3,
Laserpitium halleri,Laserpitium,,halleri,,,End.,Alp.,97,59,6,
Laserpitium nitidum,Laserpitium,,nitidum,,,End.,E-Alp.,97,59,5,
Leontodon berinii,Leontodon,,berinii,,,Subend.,E-Alp.,124,83,9,
Leontodon incanus,Leontodon,,incanus,subsp.    ,tenuiflorus,End.,E-Alp.,124,83,8,2
Leontodon montanus,Leontodon,,montanus,subsp.    ,montaniformis,End.,E-Alp.,124,83,3,2
Leucanthemum atratum,Leucanthemum,,atratum,subsp.    ,atratum,End.,E-Alp.,124,39,8,1
Leucanthemum atratum,Leucanthemum,,atratum,subsp.    ,coronopifolium,End.,W-Alp.,124,39,8,3
